DATE,MEMORY_TYPE,MODE,GRAIN,PERCENTAGE_INSERT,OCCURRENCES_INSERT,TIME_INSERT,FLUSH_INSERT,PERCENTAGE_INPLACE_INSERT,OCCURRENCES_INPLACE_INSERT,TIME_INPLACE_INSERT,FLUSH_INPLACE_INSERT,PERCENTAGE_LOOKUP,OCCURRENCES_LOOKUP,TIME_LOOKUP,FLUSH_LOOKUP,PERCENTAGE_UPDATE,OCCURRENCES_UPDATE,TIME_UPDATE,FLUSH_UPDATE,PERCENTAGE_REMOVE,OCCURRENCES_REMOVE,TIME_REMOVE,FLUSH_REMOVE,TOTAL_TIME(s), TOTAL_FLUSH
2019-3-29_22:51:44,STT-RAM,BOPL_UNDO_LOG_MODE,1,47,234547,0.055239,0.000000,48,4977,9.767052,9928.000000,98,250325,552.836063,0.000000,99,5111,11.185506,8235.000000,100,5040,11.056763,8054.000000,585.088069,26218.000000
2019-3-29_23:1:28,PCM,BOPL_UNDO_LOG_MODE,1,47,234547,0.042107,0.000000,48,4977,9.747656,9928.000000,98,250325,551.896078,0.000000,99,5111,11.154061,8235.000000,100,5040,11.055611,8054.000000,584.066640,26218.000000
2019-3-29_23:11:12,STT-RAM,BOPL_UNDO_LOG_MODE,1,47,234547,0.040905,0.000000,48,4977,9.745205,9928.000000,98,250325,551.963527,0.000000,99,5111,11.149750,8235.000000,100,5040,11.045299,8054.000000,584.133195,26218.000000
2019-3-29_23:20:56,PCM,BOPL_UNDO_LOG_MODE,1,47,234547,0.050756,0.000000,48,4977,9.744989,9928.000000,98,250325,551.699351,0.000000,99,5111,11.143392,8235.000000,100,5040,11.041817,8054.000000,583.853342,26218.000000
2019-3-29_23:30:40,STT-RAM,BOPL_UNDO_LOG_MODE,1,47,234547,0.041736,0.000000,48,4977,9.739647,9928.000000,98,250325,551.406168,0.000000,99,5111,11.139219,8235.000000,100,5040,11.037868,8054.000000,583.554310,26218.000000
2019-3-29_23:40:24,PCM,BOPL_UNDO_LOG_MODE,1,47,234547,0.039544,0.000000,48,4977,9.744853,9928.000000,98,250325,551.747465,0.000000,99,5111,11.143448,8235.000000,100,5040,11.046861,8054.000000,583.896830,26218.000000
2019-3-29_23:50:8,STT-RAM,BOPL_UNDO_LOG_MODE,1,47,234547,0.041024,0.000000,48,4977,9.743043,9928.000000,98,250325,551.663252,0.000000,99,5111,11.158002,8235.000000,100,5040,11.046486,8054.000000,583.838101,26218.000000
2019-3-29_23:50:25,PCM,BOPL_UNDO_LOG_MODE,1,7,35075,0.004273,0.000000,8,4925,0.018892,9826.000000,98,449898,17.468735,0.000000,99,5089,0.199652,66.000000,100,5013,0.194505,52.000000,17.976840,9945.000000
2019-3-29_23:50:43,STT-RAM,BOPL_UNDO_LOG_MODE,1,7,35075,0.004305,0.000000,8,4925,0.019208,9826.000000,98,449898,17.482921,0.000000,99,5089,0.199804,66.000000,100,5013,0.194680,52.000000,17.993726,9945.000000
2019-3-29_23:51:3,PCM,BOPL_UNDO_LOG_MODE,1,7,35075,0.004191,0.000000,8,4925,0.019005,9826.000000,98,449898,19.078235,0.000000,99,5089,0.200089,66.000000,100,5013,0.194560,52.000000,19.586832,9945.000000
2019-3-29_23:51:21,STT-RAM,BOPL_UNDO_LOG_MODE,1,7,35075,0.004422,0.000000,8,4925,0.023952,9826.000000,98,449898,17.710732,0.000000,99,5089,0.202422,66.000000,100,5013,0.197351,52.000000,18.234131,9945.000000
2019-3-29_23:51:40,PCM,BOPL_UNDO_LOG_MODE,1,7,35075,0.004289,0.000000,8,4925,0.025321,9826.000000,98,449898,17.779870,0.000000,99,5089,0.203665,66.000000,100,5013,0.198220,52.000000,18.304285,9945.000000
2019-3-29_23:51:59,STT-RAM,BOPL_UNDO_LOG_MODE,1,7,35075,0.004602,0.000000,8,4925,0.018912,9826.000000,98,449898,18.537009,0.000000,99,5089,0.212224,66.000000,100,5013,0.206459,52.000000,19.077263,9945.000000
2019-3-29_23:52:18,PCM,BOPL_UNDO_LOG_MODE,1,7,35075,0.004633,0.000000,8,4925,0.020001,9826.000000,98,449898,18.519682,0.000000,99,5089,0.211714,66.000000,100,5013,0.206349,52.000000,19.059206,9945.000000
2019-3-29_23:52:36,STT-RAM,BOPL_UNDO_LOG_MODE,1,7,35075,0.004360,0.000000,8,4925,0.018470,9826.000000,98,449898,18.067990,0.000000,99,5089,0.206582,66.000000,100,5013,0.201080,52.000000,18.599896,9945.000000
2019-3-29_23:52:55,PCM,BOPL_UNDO_LOG_MODE,1,7,35075,0.004559,0.000000,8,4925,0.020369,9826.000000,98,449898,17.917933,0.000000,99,5089,0.204695,66.000000,100,5013,0.199693,52.000000,18.442621,9945.000000
2019-3-29_23:53:13,STT-RAM,BOPL_UNDO_LOG_MODE,1,7,35075,0.004814,0.000000,8,4925,0.018649,9826.000000,98,449898,17.867764,0.000000,99,5089,0.204313,66.000000,100,5013,0.199512,52.000000,18.392902,9945.000000
2019-3-29_23:54:4,PCM,BOPL_UNDO_LOG_MODE,1,87,434877,0.065857,0.000000,88,4933,3.861750,9839.000000,98,50115,39.058913,0.000000,99,5062,3.950794,10100.000000,100,5013,3.994931,10002.000000,51.106406,29942.000000
2019-3-29_23:54:56,STT-RAM,BOPL_UNDO_LOG_MODE,1,87,434877,0.077527,0.000000,88,4933,3.894606,9839.000000,98,50115,39.342541,0.000000,99,5062,3.985983,10100.000000,100,5013,4.035701,10002.000000,51.522719,29942.000000
2019-3-29_23:55:45,PCM,BOPL_UNDO_LOG_MODE,1,87,434877,0.065054,0.000000,88,4933,3.742465,9839.000000,98,50115,37.843854,0.000000,99,5062,3.841781,10100.000000,100,5013,3.870721,10002.000000,49.544977,29942.000000
2019-3-29_23:56:37,STT-RAM,BOPL_UNDO_LOG_MODE,1,87,434877,0.066725,0.000000,88,4933,3.927795,9839.000000,98,50115,39.759857,0.000000,99,5062,4.025872,10100.000000,100,5013,4.071266,10002.000000,52.038671,29942.000000
