DATE,MEMORY_TYPE,MODE,GRAIN,PERCENTAGE_INSERT,OCCURRENCES_INSERT,TIME_INSERT,FLUSH_INSERT,PERCENTAGE_INPLACE_INSERT,OCCURRENCES_INPLACE_INSERT,TIME_INPLACE_INSERT,FLUSH_INPLACE_INSERT,PERCENTAGE_LOOKUP,OCCURRENCES_LOOKUP,TIME_LOOKUP,FLUSH_LOOKUP,PERCENTAGE_UPDATE,OCCURRENCES_UPDATE,TIME_UPDATE,FLUSH_UPDATE,PERCENTAGE_REMOVE,OCCURRENCES_REMOVE,TIME_REMOVE,FLUSH_REMOVE,TOTAL_TIME(s), TOTAL_FLUSH
2019-3-30_0:36:21,STT-RAM,BOPL_HASH_MAP_MODE,1,7,35075,0.004424,0.000000,8,4925,0.010818,0.000000,98,449898,9.174058,0.000000,99,5089,0.106184,0.000000,100,5013,0.102960,0.000000,9.486758,1.000000
2019-3-30_0:36:31,PCM,BOPL_HASH_MAP_MODE,1,7,35075,0.004450,0.000000,8,4925,0.010685,0.000000,98,449898,9.160956,0.000000,99,5089,0.105468,0.000000,100,5013,0.102421,0.000000,9.466941,1.000000
2019-3-30_0:36:41,STT-RAM,BOPL_HASH_MAP_MODE,1,7,35075,0.004600,0.000000,8,4925,0.011293,0.000000,98,449898,9.725893,0.000000,99,5089,0.112567,0.000000,100,5013,0.109026,0.000000,10.053252,1.000000
2019-3-30_0:36:50,PCM,BOPL_HASH_MAP_MODE,1,87,434877,0.053007,0.000000,88,4933,0.671953,0.000000,98,50115,6.748116,0.000000,99,5062,0.681500,0.000000,100,5013,0.673267,0.000000,9.006892,1.000000
2019-3-30_0:36:59,STT-RAM,BOPL_HASH_MAP_MODE,1,87,434877,0.052740,0.000000,88,4933,0.657200,0.000000,98,50115,6.609344,0.000000,99,5062,0.667779,0.000000,100,5013,0.659009,0.000000,8.815699,1.000000
2019-3-30_0:37:8,PCM,BOPL_HASH_MAP_MODE,1,87,434877,0.053243,0.000000,88,4933,0.668980,0.000000,98,50115,6.718952,0.000000,99,5062,0.677706,0.000000,100,5013,0.669801,0.000000,8.963214,1.000000
2019-3-30_0:37:17,STT-RAM,BOPL_HASH_MAP_MODE,1,87,434877,0.052941,0.000000,88,4933,0.667246,0.000000,98,50115,6.661376,0.000000,99,5062,0.672657,0.000000,100,5013,0.668005,0.000000,8.893166,1.000000
2019-3-30_0:37:26,PCM,BOPL_HASH_MAP_MODE,1,87,434877,0.053513,0.000000,88,4933,0.662584,0.000000,98,50115,6.641191,0.000000,99,5062,0.671857,0.000000,100,5013,0.664902,0.000000,8.869770,1.000000
2019-3-30_0:37:35,STT-RAM,BOPL_HASH_MAP_MODE,1,87,434877,0.053542,0.000000,88,4933,0.666265,0.000000,98,50115,6.688056,0.000000,99,5062,0.676897,0.000000,100,5013,0.667889,0.000000,8.921562,1.000000
2019-3-30_0:37:44,PCM,BOPL_HASH_MAP_MODE,1,87,434877,0.052208,0.000000,88,4933,0.681284,0.000000,98,50115,6.833470,0.000000,99,5062,0.689625,0.000000,100,5013,0.681113,0.000000,9.099654,1.000000
2019-3-30_0:37:53,STT-RAM,BOPL_HASH_MAP_MODE,1,87,434877,0.053252,0.000000,88,4933,0.667174,0.000000,98,50115,6.690235,0.000000,99,5062,0.674615,0.000000,100,5013,0.668516,0.000000,8.924232,1.000000
2019-3-30_0:38:1,PCM,BOPL_HASH_MAP_MODE,1,87,434877,0.052402,0.000000,88,4933,0.629885,0.000000,98,50115,6.317438,0.000000,99,5062,0.638049,0.000000,100,5013,0.630368,0.000000,8.441287,1.000000
2019-3-30_0:38:10,STT-RAM,BOPL_HASH_MAP_MODE,1,87,434877,0.048722,0.000000,88,4933,0.638220,0.000000,98,50115,6.342473,0.000000,99,5062,0.640559,0.000000,100,5013,0.633352,0.000000,8.448488,1.000000
2019-3-30_0:39:53,PCM,DRAM_MODE,0,47,234547,0.183741,0.000000,48,4977,1.713428,0.000000,98,250325,97.216768,0.000000,99,5111,2.344080,0.000000,100,5040,2.320876,0.000000,103.928561,1.000000
2019-3-30_0:41:38,STT-RAM,DRAM_MODE,0,47,234547,0.049374,0.000000,48,4977,1.720640,0.000000,98,250325,97.446979,0.000000,99,5111,2.354101,0.000000,100,5040,2.327746,0.000000,104.055938,1.000000
2019-3-30_0:43:21,PCM,DRAM_MODE,0,47,234547,0.049784,0.000000,48,4977,1.719572,0.000000,98,250325,97.098602,0.000000,99,5111,2.346551,0.000000,100,5040,2.327086,0.000000,103.691700,1.000000
2019-3-30_0:45:5,STT-RAM,DRAM_MODE,0,47,234547,0.050787,0.000000,48,4977,1.714622,0.000000,98,250325,96.979199,0.000000,99,5111,2.341880,0.000000,100,5040,2.319893,0.000000,103.558348,1.000000
2019-3-30_0:46:49,PCM,DRAM_MODE,0,47,234547,0.044563,0.000000,48,4977,1.715979,0.000000,98,250325,97.364744,0.000000,99,5111,2.348075,0.000000,100,5040,2.323057,0.000000,103.941677,1.000000
2019-3-30_0:48:33,STT-RAM,DRAM_MODE,0,47,234547,0.052015,0.000000,48,4977,1.729761,0.000000,98,250325,97.827404,0.000000,99,5111,2.362505,0.000000,100,5040,2.338260,0.000000,104.465337,1.000000
2019-3-30_0:50:17,PCM,DRAM_MODE,0,47,234547,0.075138,0.000000,48,4977,1.705281,0.000000,98,250325,96.820382,0.000000,99,5111,2.335083,0.000000,100,5040,2.316253,0.000000,103.400104,1.000000
2019-3-30_0:52:0,STT-RAM,DRAM_MODE,0,47,234547,0.043230,0.000000,48,4977,1.720498,0.000000,98,250325,97.232949,0.000000,99,5111,2.348263,0.000000,100,5040,2.327788,0.000000,103.839071,1.000000
2019-3-30_0:53:45,PCM,DRAM_MODE,0,47,234547,0.157677,0.000000,48,4977,1.721151,0.000000,98,250325,97.460263,0.000000,99,5111,2.413319,0.000000,100,5040,2.327597,0.000000,104.229360,1.000000
2019-3-30_0:55:28,STT-RAM,DRAM_MODE,0,47,234547,0.044667,0.000000,48,4977,1.717359,0.000000,98,250325,96.890615,0.000000,99,5111,2.340393,0.000000,100,5040,2.320183,0.000000,103.469942,1.000000
2019-3-30_0:55:32,PCM,DRAM_MODE,0,7,35075,0.003820,0.000000,8,4925,0.004037,0.000000,98,449898,3.717514,0.000000,99,5089,0.046921,0.000000,100,5013,0.045439,0.000000,3.899287,1.000000
